catalog_id,initial,name,class,subtype,ecosystem_or_vendor,primary_use,deployment_or_interface,scope_note,headline_metric,headline_value_pct,headline_scope,country_breakdown_status,gender_breakdown_status,notes,source_url
91,G,Gulp,Task automation,JavaScript task runner,JavaScript,Task pipelines and build automation,CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
92,G,GYP,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
93,H,Hackage,Build & package management,Haskell package/build tooling,Haskell,Packages and builds,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
94,H,Hadrian,Build & package management,Haskell package/build tooling,Haskell,Packages and builds,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
95,H,Hatch,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
96,H,Hex,Build & package management,BEAM package/build tooling,Elixir / Erlang,"Dependencies, compilation and releases",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
97,H,Hex.pm,Build & package management,BEAM package/build tooling,Elixir / Erlang,"Dependencies, compilation and releases",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
98,H,Hoe,Package management,Ruby package/build tooling,Ruby,"Dependencies, gems and tasks",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
99,H,Homebrew,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
100,H,Hunter,Package management,C/C++/HPC dependency tooling,C / C++ / HPC,Native dependency/package management,CLI / registries,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
101,J,Jake,Task automation,JavaScript task runner,JavaScript,Task pipelines and build automation,CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
102,J,Jam,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
103,J,JBang,Build & package management,JVM build/package system,Java / Kotlin / Scala / Clojure,Dependency resolution and builds,CLI / declarative build,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
104,J,Jeweler,Package management,Ruby package/build tooling,Ruby,"Dependencies, gems and tasks",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
105,J,jspm,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
106,J,JSR,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
107,J,just,Build & package management,Rust package/build tooling,Rust,"Dependencies, compilation, testing and distribution",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
108,L,Lage,Monorepo tooling,Workspace/build orchestration,Multi-language / JavaScript,"Incremental builds, task graph and monorepo management",CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
109,L,Laravel Pint Composer plugin ecosystem,Package management,PHP package tooling,PHP,Dependencies and package distribution,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
110,L,Leiningen,Build & package management,JVM build/package system,Java / Kotlin / Scala / Clojure,Dependency resolution and builds,CLI / declarative build,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
111,L,Lerna,Monorepo tooling,Workspace/build orchestration,Multi-language / JavaScript,"Incremental builds, task graph and monorepo management",CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
112,L,Libtool,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
113,L,Lineman,Task automation,JavaScript task runner,JavaScript,Task pipelines and build automation,CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
114,M,MacPorts,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
115,M,Mage,Build & package management,Go module/build tooling,Go,"Modules, builds, releases and task automation",CLI / proxy,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
116,M,Make,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
117,M,Make.js,Task automation,JavaScript task runner,JavaScript,Task pipelines and build automation,CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
118,M,Mako,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
119,M,Mamba,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
120,M,Maven,Build & package management,JVM build/package system,Java / Kotlin / Scala / Clojure,Dependency resolution and builds,CLI / declarative build,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
121,M,Maven Wrapper,Build & package management,JVM build/package system,Java / Kotlin / Scala / Clojure,Dependency resolution and builds,CLI / declarative build,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
122,M,Meson,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
123,M,Metro,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
124,M,Microbundle,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
125,M,Micromamba,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
126,M,Mill,Build & package management,JVM build/package system,Java / Kotlin / Scala / Clojure,Dependency resolution and builds,CLI / declarative build,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
127,M,Mimosa,Task automation,JavaScript task runner,JavaScript,Task pipelines and build automation,CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
128,M,Mint,Build & package management,Apple ecosystem package/build tooling,Swift / Objective-C,Dependencies and Apple platform builds,CLI / IDE,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
129,M,mise,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
130,M,Mix,Build & package management,BEAM package/build tooling,Elixir / Erlang,"Dependencies, compilation and releases",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
131,M,Mono xbuild,Build & package management,.NET package/build tooling,.NET,"Packages, compilation and build orchestration",CLI / build project,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
132,M,moon,Monorepo tooling,Workspace/build orchestration,Multi-language / JavaScript,"Incremental builds, task graph and monorepo management",CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
133,M,MSBuild,Build & package management,.NET package/build tooling,.NET,"Packages, compilation and build orchestration",CLI / build project,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
134,M,MSBuild C++,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
135,M,MSYS2 pacman,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
136,N,n,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
137,N,Nant,Build & package management,.NET package/build tooling,.NET,"Packages, compilation and build orchestration",CLI / build project,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
138,N,ncc,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
139,N,Nexus Repository npm,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
140,N,Ninja,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
141,N,Nix,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
142,N,Nix-style Cabal builds,Build & package management,Haskell package/build tooling,Haskell,Packages and builds,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
143,N,NMake,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
144,N,npm,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,Stack Overflow 2025 cloud-development usage,56.8,"24,473 respondents; multi-select",Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
145,N,npm scripts,Task automation,JavaScript task runner,JavaScript,Task pipelines and build automation,CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
146,N,NuGet,Build & package management,.NET package/build tooling,.NET,"Packages, compilation and build orchestration",CLI / build project,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
147,N,Nuke Build,Build & package management,.NET package/build tooling,.NET,"Packages, compilation and build orchestration",CLI / build project,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
148,N,nvm,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
149,N,Nx,Monorepo tooling,Workspace/build orchestration,Multi-language / JavaScript,"Incremental builds, task graph and monorepo management",CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
150,P,Packagist,Package management,PHP package tooling,PHP,Dependencies and package distribution,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
151,P,Pacman,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
152,P,Paket,Build & package management,.NET package/build tooling,.NET,"Packages, compilation and build orchestration",CLI / build project,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
153,P,Pants,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
154,P,Pants monorepo,Monorepo tooling,Workspace/build orchestration,Multi-language / JavaScript,"Incremental builds, task graph and monorepo management",CLI,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
155,P,Parcel,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
156,P,PDM,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
157,P,PEAR,Package management,PHP package tooling,PHP,Dependencies and package distribution,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
158,P,Perforce Jam,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
159,P,Phive,Package management,PHP package tooling,PHP,Dependencies and package distribution,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
160,P,pip,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
161,P,Pipenv,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
162,P,pipx,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
163,P,Pixi,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
164,P,Please,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
165,P,Please Build Go rules,Build & package management,Go module/build tooling,Go,"Modules, builds, releases and task automation",CLI / proxy,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
166,P,pnpm,Package management,JavaScript/TypeScript package manager or registry,JavaScript / Node.js,"Dependency installation, versioning, package publication",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
167,P,Poetry,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
168,P,Poi,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
169,P,Portage,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
170,P,Premake,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
171,P,PyPI,Package management,Python packaging/environment tooling,Python,"Dependencies, environments, package builds and publishing",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
172,Q,Qbs,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
173,Q,qmake,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
174,R,Rake,Package management,Ruby package/build tooling,Ruby,"Dependencies, gems and tasks",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
175,R,Re.Pack,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
176,R,Rebar3,Build & package management,BEAM package/build tooling,Elixir / Erlang,"Dependencies, compilation and releases",CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
177,R,redo,Build automation,Native/meta build systems,C / C++ / multi-language,Configure and execute builds,CLI / build files,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
178,R,Rolldown,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
179,R,Rollup,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
180,R,Rome Bundler,Bundling & compilation,JavaScript/TypeScript bundler/compiler,JavaScript / TypeScript,Bundle/transpile web and JS applications,CLI / dev server,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://2025.stateofjs.com/en-US/libraries/build-tools/
181,R,RPM,System package management,OS/developer package manager,Operating systems,Install developer dependencies and toolchains,CLI / registry,Current and historical notable tools,,,,Not populated: no comparable global per-tool country usage table verified for full catalogue,Not populated: no robust per-tool gender cross-tab verified for full catalogue,,https://en.wikipedia.org/wiki/List_of_build_automation_software
