catalog_id,initial,name,primary_model,secondary_models,product_type,deployment,provider_or_project,stackoverflow_rank_2025,stackoverflow_used_pct_2025,dbengines_rank_2026_09,dbengines_score_2026_09,dbengines_top20_model,country_breakdown_status,gender_breakdown_status,notes,source_url
153,C,Couchbase Lite,Embedded / local / edge,,Embedded / local database,Embedded / local / edge,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
154,C,Couchbase Vector Search,Vector / similarity,,Vector database / vector-capable data system,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
155,C,CouchDB,Document,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Document-oriented_database
156,C,CrateDB,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
157,C,CrateDB Search,Search / indexing,,Search engine / search database,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
158,C,Crunchy Bridge,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
159,C,Crux / XTDB,Object / XML / multivalue / specialty,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_object_database_management_systems
160,C,CUBRID,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
161,D,D3,Object / XML / multivalue / specialty,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_object_database_management_systems
162,D,Databend,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
163,D,Databricks SQL,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,,,7,168.34,Multi-model / relational,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
164,D,DataEase,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
165,D,DataFlex,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
166,D,Dataphor,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
167,D,DataStax Astra DB,Wide-column / columnar,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_column-oriented_DBMSes
168,D,DataStax Astra DB Vector,Vector / similarity,,Vector database / vector-capable data system,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
169,D,DataStax Enterprise,Wide-column / columnar,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_column-oriented_DBMSes
170,D,Datomic,Object / XML / multivalue / specialty,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_object_database_management_systems
171,D,Db4o,Object / XML / multivalue / specialty,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_object_database_management_systems
172,D,dBase,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
173,D,Delta Lake,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
174,D,Deno KV,Document,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Document-oriented_database
175,D,Denodo,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
176,D,Derby Embedded,Embedded / local / edge,,Embedded / local database,Embedded / local / edge,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
177,D,Dexie.js,Embedded / local / edge,,Embedded / local database,Embedded / local / edge,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
178,D,Dgraph,Graph,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
179,D,DigitalOcean Managed Databases,Developer data platform / BaaS,,Managed developer data platform,Managed cloud / developer platform,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Platform or managed service rather than a standalone database engine.,https://db-engines.com/en/ranking/
180,D,DigitalOcean Managed MySQL,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
181,D,DigitalOcean Managed PostgreSQL,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
182,D,Djondb,Document,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Document-oriented_database
183,D,DM8,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
184,D,DolphinDB,Time series,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
185,D,Dragonfly,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
186,D,Dremio,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
187,D,Druid,Wide-column / columnar,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_column-oriented_DBMSes
188,D,DuckDB,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
189,D,DuckDB VSS,Vector / similarity,,Vector database / vector-capable data system,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
190,D,DuckDB-Wasm,Embedded / local / edge,,Embedded / local database,Embedded / local / edge,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
191,E,Eclipse RDF4J,RDF / semantic graph,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
192,E,EDB Postgres Advanced Server,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
193,E,EDB Postgres AI Cloud,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
194,E,Ehcache,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
195,E,EJDB,Document,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Document-oriented_database
196,E,EJDB2,Document,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Document-oriented_database
197,E,Elasticsearch,Search / indexing,,Search engine / search database,Self-managed or varies,,8,16.7,11,95.5,Search / vector / document,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
198,E,Elasticsearch Vector Search,Vector / similarity,,Vector database / vector-capable data system,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
199,E,ElectricSQL,Developer data platform / BaaS,,Managed developer data platform,Managed cloud / developer platform,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Platform or managed service rather than a standalone database engine.,https://db-engines.com/en/ranking/
200,E,ElectricSQL PGlite,Embedded / local / edge,,Embedded / local database,Embedded / local / edge,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
201,E,Empress Embedded Database,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
202,E,EnterpriseDB,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
203,E,EnterpriseDB Postgres Distributed,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
204,E,etcd,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
205,E,EventStoreDB,Object / XML / multivalue / specialty,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_object_database_management_systems
206,E,Exasol,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
207,E,eXist-db,Object / XML / multivalue / specialty,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_object_database_management_systems
208,E,Extensible Storage Engine,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
209,E,eXtremeDB,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
210,E,eXtremeDB Embedded,Embedded / local / edge,,Embedded / local database,Embedded / local / edge,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
211,E,eXtremeDB Financial Edition,Time series,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
212,F,FalkorDB,Graph,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
213,F,FalkorDB Search,Search / indexing,,Search engine / search database,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
214,F,FASTER,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
215,F,Fauna,Developer data platform / BaaS,,Managed developer data platform,Managed cloud / developer platform,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Platform or managed service rather than a standalone database engine.,https://db-engines.com/en/ranking/
216,F,FerretDB,Document,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Document-oriented_database
217,F,FileMaker Pro,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
218,F,Firebase,Managed developer data platform,,Managed developer data platform,Managed cloud / BaaS,Google,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Developer platform; database products include Cloud Firestore and Realtime Database.,https://firebase.google.com/docs/database/rtdb-vs-firestore
219,F,Firebase Data Connect,Developer data platform / BaaS,,Managed developer data platform,Managed cloud / developer platform,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Platform or managed service rather than a standalone database engine.,https://db-engines.com/en/ranking/
220,F,Firebase Realtime Database,Document / realtime JSON,,Database engine / DBMS,Managed cloud / BaaS,Google,15,5.0,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Cloud-hosted JSON database with realtime client synchronization.,https://firebase.google.com/docs/database
221,F,Firebase SQL Connect,Developer data platform / BaaS,,Managed developer data platform,Managed cloud / developer platform,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Platform or managed service rather than a standalone database engine.,https://db-engines.com/en/ranking/
222,F,Firebird,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
223,F,Firebird Embedded,Embedded / local / edge,,Embedded / local database,Embedded / local / edge,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
224,F,Firebolt,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
225,F,FlockDB,Graph,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
226,F,Fly Postgres,Developer data platform / BaaS,,Managed developer data platform,Managed cloud / developer platform,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Platform or managed service rather than a standalone database engine.,https://db-engines.com/en/ranking/
227,F,ForerunnerDB,Document,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Document-oriented_database
228,F,ForestDB,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
229,F,FoundationDB,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
230,F,FoundationDB Key-Value Store,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
231,F,FoundationDB Record Layer,Object / XML / multivalue / specialty,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_object_database_management_systems
232,F,FrontBase,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
233,F,Fujitsu Enterprise Postgres,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
234,G,Garnet,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
235,G,GaussDB,Relational / SQL,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems
236,G,GemFire,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
237,G,GemStone/S,Object / XML / multivalue / specialty,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/Comparison_of_object_database_management_systems
238,G,Google AlloyDB,Relational / PostgreSQL-compatible,,Managed cloud database service,Managed cloud,Google Cloud,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed PostgreSQL-compatible database.,https://cloud.google.com/products/databases
239,G,Google AlloyDB AI,Vector / similarity,,Vector database / vector-capable data system,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
240,G,Google AlloyDB for PostgreSQL,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
241,G,Google BigQuery,Analytical / warehouse / lakehouse,,Analytical data platform / warehouse,Self-managed or varies,,11,6.5,19,52.0,Relational / analytical,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
242,G,Google Bigtable,Wide-column,,Managed cloud database service,Managed cloud,Google Cloud,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed wide-column NoSQL database.,https://cloud.google.com/products/databases
243,G,Google Cloud Bigtable,Wide-column / columnar,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_column-oriented_DBMSes
244,G,Google Cloud Bigtable Time Series,Time series,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
245,G,Google Cloud Firestore,Document,,Database engine / DBMS,Managed cloud,Google,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Google Cloud/Firebase serverless document database.,https://firebase.google.com/docs/firestore
246,G,Google Cloud Memorystore for Memcached,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
247,G,Google Cloud Memorystore for Redis,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
248,G,Google Cloud Memorystore for Valkey,Key-value / in-memory,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_in-memory_databases
249,G,Google Cloud Search,Search / indexing,,Search engine / search database,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
250,G,Google Cloud Spanner,Distributed relational / multi-model,,Managed database service,Managed cloud,Google Cloud,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Globally consistent managed database service.,https://cloud.google.com/products/databases
251,G,Google Cloud SQL,Relational / SQL,,Managed cloud database service,Managed cloud,Google Cloud,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,"Managed MySQL, PostgreSQL and SQL Server service.",https://cloud.google.com/products/databases
252,G,Google Cloud SQL for MySQL,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
253,G,Google Cloud SQL for PostgreSQL,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
254,G,Google Cloud SQL for SQL Server,Relational / SQL,,Managed database service,Managed cloud,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,Managed service; underlying engine may be separately listed.,https://db-engines.com/en/ranking/
255,G,Google Cloud SQL pgvector,Vector / similarity,,Vector database / vector-capable data system,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://db-engines.com/en/ranking/
256,G,Google Megastore,Wide-column / columnar,,Database engine / DBMS,Self-managed or varies,,,,,,,Not populated: no comparable global database-by-country usage table verified for the full catalogue,Not populated: no robust per-database gender cross-tab verified for the full catalogue,,https://en.wikipedia.org/wiki/List_of_column-oriented_DBMSes
