catalog_id,initial,name,runtime_family,runtime_type,languages_or_code,execution_model,bytecode_or_ir,memory_management,typical_environment,sandbox_model,provider_or_project,engine_or_host_relation,stateofjs_runtime_rank_2025,stateofjs_runtime_users_2025,stateofjs_runtime_use_pct_2025,stateofjs_edge_rank_2025,stateofjs_edge_users_2025,stateofjs_edge_use_pct_2025,stackoverflow_web_rank_2025,stackoverflow_web_used_pct_2025,country_data_status,gender_data_status,notes,source_url
148,F,Fly.io Machines Runtime,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,,,,8,249,2.6,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
149,F,Forth VM,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
150,F,Fortran Runtime (libgfortran),Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
151,F,FrankenPHP Runtime,PHP / Hack,Language runtime / VM,"PHP, Hack",Opcode VM / JIT / AOT varies,Zend opcodes / HHBC / CIL / native,Garbage collected + ref counting varies,"Web server, CLI, application server",Process/host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://wiki.php.net/internals/engine
152,F,Free Pascal Runtime Library,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
153,F,FTL JIT,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
154,F,Futhark JS Engine,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
155,G,Gambit Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
156,G,Gauche Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
157,G,gawk Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
158,G,gccgo libgo Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
159,G,GCL Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
160,G,GemStone/S VM,Smalltalk / Self,Object VM / language runtime,"Smalltalk, Self, Newspeak",Bytecode interpreter + JIT varies,Smalltalk bytecode / object memory,Garbage collected,"Desktop, research, server, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://opensmalltalk.org/
161,G,Gforth Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
162,G,GHC RTS,Haskell,Language runtime system,Haskell compiled by GHC,Native compiled runtime,Native machine code,Garbage collected,"Server, CLI, desktop",OS process boundary,GHC project,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,"Handles storage management, thread scheduling, profiling and runtime services.",https://ghc.gitlab.haskell.org/ghc/doc/users_guide/runtime_control.html
163,G,GHC Runtime System (RTS),Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,GHC Project,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,"Haskell runtime handling storage, thread scheduling, profiling and I/O services.",https://ghc.gitlab.haskell.org/ghc/doc/users_guide/runtime_control.html
164,G,GHCi Bytecode Interpreter,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
165,G,Gleam Runtime on BEAM,BEAM / Erlang,Concurrent VM / runtime system,"Erlang, Elixir, Gleam, LFE and BEAM languages",Bytecode interpreter + JIT / AOT variants,BEAM bytecode,Per-process GC / managed memory,"Server, distributed systems, embedded",Process isolation inside VM + OS boundary,Erlang/OTP ecosystem,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.erlang.org/docs/27/system/system_principles.html
166,G,glibc,Native system runtimes,Runtime library / ABI layer,"C, C++ and native languages",Native execution support,Native machine code / ABI,Manual / language-specific,"Operating systems, embedded, native applications",OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
167,G,Glulx VM,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
168,G,GNAT Runtime Library,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
169,G,GNU COBOL Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
170,G,GNU Guile VM,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
171,G,GNU libgcj / GCJ Runtime,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
172,G,GNU Octave Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
173,G,GNU Portable.NET Runtime,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
174,G,GNU Prolog Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
175,G,GNU R Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
176,G,GNU Smalltalk VM,Smalltalk / Self,Object VM / language runtime,"Smalltalk, Self, Newspeak",Bytecode interpreter + JIT varies,Smalltalk bytecode / object memory,Garbage collected,"Desktop, research, server, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://opensmalltalk.org/
177,G,Go Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,Go Project,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,"Runtime system providing goroutines, scheduling, GC, stacks and low-level runtime services.",https://pkg.go.dev/runtime
178,G,Go Runtime System,Go,Language runtime system,Go,Native compiled runtime,Native machine code,Garbage collected,"Server, CLI, cloud",OS process boundary,Go project,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,"Provides goroutine scheduling, garbage collection, stack management and runtime services.",https://pkg.go.dev/runtime
179,G,goja,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
180,G,Google Cloud Functions Runtime,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,,,,4,995,10.4,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
181,G,Google Cloud Run Runtime,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,,,,11,10,0.1,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
182,G,GraalJS,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,Oracle / GraalVM,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,ECMAScript runtime in GraalVM; can run as standalone or on the JVM.,https://www.graalvm.org/dev/reference-manual/
183,G,GraalJS Node.js Runtime,JavaScript / TypeScript,Application runtime,JavaScript / TypeScript,Interpreter / JIT / AOT varies,JavaScript source / engine-specific bytecode,Garbage collected,Server / embedded / edge / experimental,Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
184,G,GraalNode.js,JavaScript / TypeScript,Application runtime,JavaScript / TypeScript,Interpreter / JIT / AOT varies,JavaScript source / engine-specific bytecode,Garbage collected,Server / embedded / edge / experimental,Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
185,G,GraalPy,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,Oracle / GraalVM,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Embeddable Python runtime for GraalVM.,https://www.graalvm.org/dev/reference-manual/
186,G,GraalPython,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
187,G,GraalVM JVM,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,Oracle / GraalVM,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,JVM distribution/runtime with Graal compiler and polyglot language runtimes.,https://www.graalvm.org/dev/reference-manual/
188,G,GraalVM Native Image Runtime,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
189,G,GraalWasm,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,Oracle / GraalVM,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,WebAssembly engine in GraalVM.,https://www.graalvm.org/dev/reference-manual/
190,G,Guile VM,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
191,H,Hack Runtime,PHP / Hack,Language runtime / VM,"PHP, Hack",Opcode VM / JIT / AOT varies,Zend opcodes / HHBC / CIL / native,Garbage collected + ref counting varies,"Web server, CLI, application server",Process/host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://wiki.php.net/internals/engine
192,H,Hamler Runtime on BEAM,BEAM / Erlang,Concurrent VM / runtime system,"Erlang, Elixir, Gleam, LFE and BEAM languages",Bytecode interpreter + JIT / AOT variants,BEAM bytecode,Per-process GC / managed memory,"Server, distributed systems, embedded",Process isolation inside VM + OS boundary,Erlang/OTP ecosystem,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.erlang.org/docs/27/system/system_principles.html
193,H,HashLink JIT,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
194,H,HashLink Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
195,H,Haxe HashLink VM,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
196,H,Haxe JavaScript Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
197,H,Haxe JVM Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
198,H,Haxe Neko Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
199,H,Hermes,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,7,354,3.2,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
200,H,HHVM,PHP / Hack,Language runtime / VM,"PHP, Hack",Opcode VM / JIT / AOT varies,Zend opcodes / HHBC / CIL / native,Garbage collected + ref counting varies,"Web server, CLI, application server",Process/host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://wiki.php.net/internals/engine
201,H,HIP Runtime,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
202,H,HiPE,BEAM / Erlang,Concurrent VM / runtime system,"Erlang, Elixir, Gleam, LFE and BEAM languages",Bytecode interpreter + JIT / AOT variants,BEAM bytecode,Per-process GC / managed memory,"Server, distributed systems, embedded",Process isolation inside VM + OS boundary,Erlang/OTP ecosystem,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.erlang.org/docs/27/system/system_principles.html
203,H,HipHop for PHP Runtime,PHP / Hack,Language runtime / VM,"PHP, Hack",Opcode VM / JIT / AOT varies,Zend opcodes / HHBC / CIL / native,Garbage collected + ref counting varies,"Web server, CLI, application server",Process/host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://wiki.php.net/internals/engine
204,H,HotSpot,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
205,H,Hugs Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
206,I,IBM Cloud Functions Runtime,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
207,I,IBM J9,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
208,I,Icon VM,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
209,I,Ignition,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
210,I,Ikarus Scheme Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
211,I,IKVM,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
212,I,IL Interpreter,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
213,I,Inferno Dis VM,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
214,I,inNative,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
215,I,Intel Level Zero Runtime,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
